"TIME","CPA02","AIRPOL","ORIGIN","UNIT","T_COLS","GEO","Value","Flag and Footnotes"
"2000","Trade, maintenance and repair services of motor vehicles and motorcycles; retail trade services of automotive fuel","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","159,409","e"
"2000","Trade, maintenance and repair services of motor vehicles and motorcycles; retail trade services of automotive fuel","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","207,319","e"
"2000","Trade, maintenance and repair services of motor vehicles and motorcycles; retail trade services of automotive fuel","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","247,023","e"
"2000","Trade, maintenance and repair services of motor vehicles and motorcycles; retail trade services of automotive fuel","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","8,505","e"
"2000","Trade, maintenance and repair services of motor vehicles and motorcycles; retail trade services of automotive fuel","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","59,601,340","e"
"2000","Wholesale trade and commission trade services, except of motor vehicles and motorcycles","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","317,932","e"
"2000","Wholesale trade and commission trade services, except of motor vehicles and motorcycles","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","487,876","e"
"2000","Wholesale trade and commission trade services, except of motor vehicles and motorcycles","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","583,961","e"
"2000","Wholesale trade and commission trade services, except of motor vehicles and motorcycles","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","31,410","e"
"2000","Wholesale trade and commission trade services, except of motor vehicles and motorcycles","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","114,803,890","e"
"2000","Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","376,084","e"
"2000","Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","469,958","e"
"2000","Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","754,782","e"
"2000","Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","33,076","e"
"2000","Retail trade services, except of motor vehicles and motorcycles; repair services of personal and household goods","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","131,510,790","e"
"2000","Hotel and restaurant services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","419,976","e"
"2000","Hotel and restaurant services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","526,258","e"
"2000","Hotel and restaurant services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","1,489,942","e"
"2000","Hotel and restaurant services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","106,644","e"
"2000","Hotel and restaurant services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","133,898,380","e"
"2000","Land transport and transport via pipeline services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","164,941","e"
"2000","Land transport and transport via pipeline services","Nitrogen oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","698,511","e"
"2000","Land transport and transport via pipeline services","Methane","Total","Tonne","Final use at basic prices","European Union (27 countries)","224,847","e"
"2000","Land transport and transport via pipeline services","Nitrous oxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","7,255","e"
"2000","Land transport and transport via pipeline services","Carbon dioxide","Total","Tonne","Final use at basic prices","European Union (27 countries)","99,024,130","e"
"2000","Water transport services","Sulphur oxides","Total","Tonne","Final use at basic prices","European Union (27 countries)","782,180","e"
