"TIME","GEO","AIRPOL","NACE_R2","UNIT","Value","Flag and Footnotes"
"2006","Austria","Nitrogen oxides","Education","Tonne",":",""
"2006","Austria","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Austria","Methane","Total - all NACE activities","Tonne",":",""
"2006","Austria","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Austria","Methane","Education","Tonne",":",""
"2006","Austria","Methane","Human health and social work activities","Tonne",":",""
"2006","Austria","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Austria","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Austria","Nitrous oxide","Education","Tonne",":",""
"2006","Austria","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Austria","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Austria","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Austria","Carbon dioxide","Education","Tonne",":",""
"2006","Austria","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Poland","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
"2006","Poland","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Poland","Nitrogen oxides","Education","Tonne",":",""
"2006","Poland","Nitrogen oxides","Human health and social work activities","Tonne",":",""
"2006","Poland","Methane","Total - all NACE activities","Tonne",":",""
"2006","Poland","Methane","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Poland","Methane","Education","Tonne",":",""
"2006","Poland","Methane","Human health and social work activities","Tonne",":",""
"2006","Poland","Nitrous oxide","Total - all NACE activities","Tonne",":",""
"2006","Poland","Nitrous oxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Poland","Nitrous oxide","Education","Tonne",":",""
"2006","Poland","Nitrous oxide","Human health and social work activities","Tonne",":",""
"2006","Poland","Carbon dioxide","Total - all NACE activities","Tonne",":",""
"2006","Poland","Carbon dioxide","Public administration and defence; compulsory social security","Tonne",":",""
"2006","Poland","Carbon dioxide","Education","Tonne",":",""
"2006","Poland","Carbon dioxide","Human health and social work activities","Tonne",":",""
"2006","Portugal","Nitrogen oxides","Total - all NACE activities","Tonne","236,311.1",""
"2006","Portugal","Nitrogen oxides","Public administration and defence; compulsory social security","Tonne","4,355.6",""
"2006","Portugal","Nitrogen oxides","Education","Tonne","660.2",""
"2006","Portugal","Nitrogen oxides","Human health and social work activities","Tonne","3,469",""
"2006","Portugal","Methane","Total - all NACE activities","Tonne","579,500.6",""
"2006","Portugal","Methane","Public administration and defence; compulsory social security","Tonne","2,121.6",""
"2006","Portugal","Methane","Education","Tonne","13.8",""
"2006","Portugal","Methane","Human health and social work activities","Tonne","60.7",""
"2006","Portugal","Nitrous oxide","Total - all NACE activities","Tonne","12,272.1",""
"2006","Portugal","Nitrous oxide","Public administration and defence; compulsory social security","Tonne","18.1",""
"2006","Portugal","Nitrous oxide","Education","Tonne","3.8",""
"2006","Portugal","Nitrous oxide","Human health and social work activities","Tonne","203.8",""
"2006","Portugal","Carbon dioxide","Total - all NACE activities","Tonne","57,478,200",""
"2006","Portugal","Carbon dioxide","Public administration and defence; compulsory social security","Tonne","757,000",""
"2006","Portugal","Carbon dioxide","Education","Tonne","127,400",""
"2006","Portugal","Carbon dioxide","Human health and social work activities","Tonne","664,500",""
"2006","Romania","Nitrogen oxides","Total - all NACE activities","Tonne",":",""
